,Sprint,Encargado,Historia de Usuario,N° Actividad,Actividad,Inicio,Días,Final,,,
,1,Product Owner,N/A,Actividad 1,Refinamiento del Sprint Backlog.,9/2/2024,1,9/3/2024,,,
,,Diseñador UX,N/A,Actividad 2,Definir Diseño de la app,9/2/2024,5,9/7/2024,,,
,,Ingeniero de software,N/A,Actividad 3.1,"Investigaciones base de datos , equivalencias, datos",9/2/2024,5,9/7/2024,,HU,Descripción
,,Arquitecto de software,N/A,Actividad 3.2,Diseño del esquema de la base de datos.,9/2/2024,3,9/5/2024,,1,Como Secretari@/Director(a) quiero ingresar directamente a la pagina sin necesidad de confirmar mi identidad
 ,,Arquitecto de software,N/A,Actividad 3.3,"Implementación de tablas (alumnos, cursos, etc.) , relaciones.",9/9/2024,2,9/11/2024,,2,Como Secretari@/Director(a) quiero ingresar los datos personales de un alumno para tener registro de este en el sistema
,,Scrum Master,N/A,Actividad 3.4,Implementación de restricciones y validaciones iniciales.,9/9/2024,2,9/11/2024,,3,Como Secretari@/Director(a) quiero buscar alumnos mediante algún criterio para poder visualizar su historial académico
,,Ingeniero de calidad de software,N/A,Actividad 3.5,Pruebas iniciales de la base de datos.,9/9/2024,3,9/12/2024,,4,Como Secretari@/Director(a) quiero contar con un botón para que se visualicen las equivalencias del alumno en su carrera de destino
,,Scrum Master,4,Actividad 4.1,Definición de los datos necesarios para las equivalencias.,9/16/2024,1,9/17/2024,,5,Como Secretari@/Director(a) quiero contar con un botón para seleccionar el tipo de certificado a tratar
,,Diseñador UX,,Actividad 4.2,Diseño del botón e interfaz de usuario.,9/16/2024,4,9/20/2024,,6,Como Secretari@/Director(a) quiero poder previsualizar el certificado para corroborar la información antes de enviarlo a pregrado
,,Ingeniero de software,,Actividad 4.3,Implementación del botón en la interfaz.,9/16/2024,3,9/19/2024,,7,Como Secretari@/Director(a) quiero contar con un botón para la descarga del certificado
,,Product Owner,,Actividad 4.4,Integración con la base de datos para recuperar las equivalencias.,9/22/2024,2,9/24/2024,,8,Como Secretari@/Director(a) quiero poder editar la información de los estudiantes para actualizar sus datos personales
,,Ingeniero de calidad de software,,Actividad 4.5,Pruebas de funcionalidad para asegurar la correcta visualización.,9/22/2024,1,9/23/2024,,9,Como Secretari@/Director(a) quiero contar con un botón para el envío automatizado del certificado detallado mediante correo electrónico
,,Ingeniero de calidad de software,,Actividad 4.6,Validación de Datos y Almacenamiento en la Base de Datos,9/22/2024,1,9/23/2024,,10,Como Secretari@/Director(a) quiero ingresar los datos de un alumno mediante un archivo para no tener que escribir los datos de cada estudiante
,,Arquitecto de software,3,Actividad 5.1,"Definición de criterios de búsqueda (nombre, rut, etc.).",9/2/2024,1,9/3/2024,,,
,,Product Owner,,Actividad 5.2,Implementación de la interfaz de búsqueda.,9/3/2024,3,9/6/2024,,,
,,Scrum Master,,Actividad 5.3,Integración de la funcionalidad de búsqueda con la base de datos.,9/9/2024,2,9/11/2024,,,
,,Ingeniero de calidad de software,,Actividad 5.4,Pruebas de funcionalidad con datos reales.,9/9/2024,1,9/10/2024,,,
,,Ingeniero de calidad de software,,Actividad 5.5,Optimización de la búsqueda para rendimiento.,9/9/2024,2,9/11/2024,,,
,,Arquitecto de software,,Actividad 6.1,Definición de los datos necesarios para el historial académico.,9/10/2024,2,9/12/2024,,,
,,Diseñador UX,,Actividad 6.2,Diseño de la interfaz para la visualización del historial.,9/10/2024,1,9/11/2024,,,
,,Ingeniero de software,,Actividad 6.3,Implementación de la lógica para recuperar y mostrar el historial.,9/10/2024,3,9/13/2024,,,
